Id	idConcept	N1	N2	N3	N4	N5	N6	N7	UF1	UF2	UF3	UF4	UF5	UF6	UF7	UF8	RT1	RT2	RT3	RT4	RT5	RT6	RT7	RT8	RT9	RT10	RT11	RT12	RT13	RT14	RT15	RT16	RT17	RT18	RT19	RT20	RT21	RT22	RT23	RT24	RT25	LANG1	LANG2	LANG3	LANG4	LANG5	LANG6	NOTE1	NOTE2	
70	35724			Cyrille de Scythopolis																																						Cyrillus van Skythopolis(nl)	Cyril of Scythopolis(en)	Kyrillos von Skythopolis(de)	سيريل من سكيثوبوليس(ar)			né en 525, moine et chroniqueur de l'Eglise primitive en Palestine (WP)	
71	35725			Didyme l'Aveugle													De la Trinité Did																									Dídimo el Ciego(es)	Didimo il Cieco(it)	Didymus de Blinde(nl)	Didymus der Blinde(de)	Didymus the Blind(en)	ديديم الأعمى(ar)	313-398 - théologien de l'École d'Alexandrie	
72	1142			Eusèbe de Césarée					Eusèbe								Préparation évangélique Eus	Vie d'Origène Eus	Histoire ecclésiastique Eus																							Eusèbe de Césarée(it)	Eusebio de Cesarea(es)	Eusebius of Caesarea(en)	Eusebius van Caesarea(nl)	Eusebius von Caesarea(de)	يوسابيوس القيصري(ar)	Ecrivain et prélat grec, fondateur de l'historiographie ecclésiastique (265-340)	
73	1140			Eustathe					Eustathe de Thessalonique																																	Eustathe(it)	Eustathius(en)	Eustathius(nl)	Eustatio de Tesalónica(es)	Eusthathios(de)	أوستاثيوس(ar)	12e s. ap.J.C.	
74	1145			Evagre le Pontique					Évagre le Pontique																																	Euagrios Pontikos(de)	Evagre le Pontique(it)	Evagrius Ponticus(en)	Evagrius van Pontus(nl)	Evagro el Pontífice(es)	إيفاغريوس البنطي(ar)	(346-399) moine mystique	
75	1254			Grégoire de Tours													Histoire des Francs G T																									Grégoire de Tours(it)	Gregorio de Tours(es)	Gregorius van Tours(nl)	Gregor von Tours(de)	Gregory of Tours(en)	غريغوار التوري(ar)	538-594	
76	35727			Guillaume de Saint-Thierry																																						Guglielmo di Saint-Thierry(it)	Wilhelm von Saint-Thierry(de)	Willem van Saint-Thierry(nl)	William of St-Thierry(en)	غيُّوم من سانت تييري(ar)		(né en 1075 à Liège-1148 Signy) auteur cistercien connu pour représenter le courant de la mystique spéculative (WP)	
77	1274			Hagiographes																																						Agiografi(it)	hagiografen(nl)	Hagiógrafos(es)	Hagiographen(de)	Hagiographers(en)	مؤرخوا القديسين(ar)		
78	1444			Ildefonse					Ildefonse de Tolède																																	Ildefonse(it)	Ildefonso de Toledo(es)	Ildephonsus(de)	Ildephonsus(en)	Ildephonsus(nl)	إلديفونسو الطليطلي(ar)	Saint et prélat (607-667) évêque de Tolède	
79	1541			Jésus Ben Sirach					Jésus Ben Sira																																	Jésus Ben Sirach(it)	Jesús Ben Sirach(es)	Jesus Sirach(de)	Jesus Sirach(en)	Jezus Sirach(nl)	يشوع بن سيراخ(ar)	Auteur de livre biblique	
80	38512			Jules l'Africain					Sextus Julius Africanus																																	Sesto Giulio Africano(it)	Sexto Julio Africano(es)	Sextus Julius Africanus(de)	Sextus Julius Africanus(en)	Sextus Julius Africanus(nl)	يوليوس الافريقي(ar)	v. 160/180 - v. 240. - Ecrivain chrétien de langue grecque auteur de la première chronique universelle conçue dans une optique chrétienne. 	
81	1530			Justin Martyr																																						Justin der Märtyrer(de)	Justin Martyr(it)	Justino Mártir(es)	Justin the Martyr(en)	Justinus de Martelaar(nl)	يوستينوس الشهيد(ar)	IIe siècle ap. J.-C.	
82	18551			Marcion																																						Marcion(en)	Marcion(it)	Marción de Sinope(es)	Marcion van Sinope(nl)	Markion(de)	مرقيون السنوبي(ar)	Hérésiaque gnostique (Sinope v.85-v. 160). Il fonda l'Eglise marcionite qui se répandit en Orient jusque v. 400	
83	1754			Mekhitar					Manouk Pierre	Mekhitar l'Arménien																																Mechitar of Sebaste(en)	Mechitar van Sebaste(nl)	Mechitar von Sebasteia(de)	Mekhitar(es)	Mekhitar(it)	مخيتار الأرمني(ar)	Moine et théologien catholique arménien (1670-1749)	
84	1846			Moschos																																						Moscho(es)	Moschos(de)	Moschos(it)	Moschos(nl)	Moschus(en)	موسخوس(ar)	Ascète chrétien mort à Rome en 619	
85	2005			Origène													Contre Celse Orig																									Origen(en)	Origène(it)	Origenes(de)	Origenes(nl)	Orígenes(es)	أوريجانس(ar)	Bibliste docteur chrétien de langue grecque (Alexandrie 185-252/254)	
86	2007			Orose					Orose Paul	Orose (Paul)	Paulus Orosius																															Orose(it)	Orosio(es)	Orosius(de)	Orosius(en)	Orosius(nl)	أوروسيوس(ar)	Prètre espagnol (390? - 418 ?)	
87	2030			Palladios					Palladius																																	Paladio(es)	Palladios(de)	Palladios(it)	Palladius(en)	Palladius(nl)	بالاديوس(ar)	Théologien grec (363-431)	
88	2169			Photius					Photios																																	Focio(es)	Photios(de)	Photius(en)	Photius(it)	Photius(nl)	فوتيوس(ar)	820-895	
89	2250			Prosper d'Aquitaine																																						Prosper d'Aquitaine(it)	Próspero de Aquitania(es)	Prosper of Aquitaine(en)	Prosper van Aquitanië(nl)	Prosper von Aquitanien(de)	بروسبير أكيتين(ar)	390-455/463	
90	2263			Pseudo-Denys																																						Pseudo-Denys(it)	Pseudo-Dionisio(es)	Pseudo-Dionysios(de)	Pseudo-Dionysius(en)	Pseudo-Dionysius(nl)	دينيسيوس الاريوباغي(ar)	v. de Ve ou le VIe s.	
91	2437			Rufin d'Aquilée					Rufin	Tyrannius Rufinus							Histoire ecclésiastique Ruf																									Rufin d'Aquilée(it)	Rufino de Aquilea(es)	Rufinus of  Aquileia(en)	Rufinus van Aquileia(nl)	Rufinus von Aquileia(de)	روفينوس من أكويلا(ar)	Moine (340-410)	
92	2480			Salvien					Salvianus Massiliensis	Salvien de Marseille																																Salviano de Marsella(es)	Salvian of Marseilles(en)	Salvian van Marseille(nl)	Salvian von Marseille(de)	Salvien(it)	سالفيان(ar)	(Trèves v.390-Marseille v.484), historien et apologiste chrétien	
93	2640			Sévère d'Antioche																																						Sévère d'Antioche(it)	Severo de Antioquia(es)	Severus of Antioch(en)	Severus van Antiocha(nl)	Severus von Antiochia(de)	ساويروس من أنطاكيا(ar)	Moine de Palestine (465 - 538), archévêque monophysite	
94	2608			Synésios					Synésios de Cyrène	Synésius																																Sinesio de Cirene(es)	Synesios(de)	Synesios(nl)	Synésios(it)	Synesius(en)	سينيزيوس(ar)	(Cyrène V. 370-Ptolémaïs v. 413) et philosophe qui allie platonisme et christianisme	
95	2651			Tatien																																						Taciano(es)	Tatian(de)	Tatian(en)	Tatianus(nl)	Tatien(it)	تاتيان السوري(ar)	(Mésopotamie 120-173) apologiste chrétien	
96	18552			Théodore de Mopsueste																																						Teodoro de Mopsuestia(es)	Théodore de Mopsueste(it)	Theodorus of Mopsuestia(en)	Theodorus van Mopsuestia(nl)	Theodor von Mopsuestia(de)	تودور من موبسويستيا(ar)	Théologien grec (Antioche 350-Mopsueste, Cilicie 428) Père du nestorianisme	
97	2700			Théodoret de Cyr																																						Theodoret(de)	Théodoret de Cyr(es)	Théodoret de Cyr(it)	Theodoretus of Cyr(en)	Theodoretus van Cyrrhus(nl)	تيودوريتوس من سيروس(ar)	(393-466) évêque de Cyr en Syrie à partir de 423	
98	1042		Ecrivains grecs						Écrivains grecs																																	Escritores griegos(es)	Greek writers(en)	Griechische Schriftsteller(de)	Griekse schrijvers(nl)	Scrittori greco(it)	كُتَّاب إغريقيون(ar)		
99	286			Antoninus Liberalis																																						Antonino Liberal(es)	Antoninus Liberalis(de)	Antoninus Liberalis(en)	Antoninus Liberalis(it)	Antoninus Liberalis(nl)	أنطونيوس ليبيراليس(ar)	2e s. ap.J.C., mythographe	
100	177645			Apollodore d'Artemita																																						Apollodoro di Artemita(it)	Apollodorus of Artemita(en)	Apollodor von Artemita(de)	Apolodoro de Artémita(es)			Ecrivain grec du Ier siècle av. J.-C. ayant vécu de 130 à 87 av. J.-C. et auteur d'une histoire de l'Empire parthe, le Parthika. (Wikipédia)	
101	397			Artémidore de Daldis					Artémidore de Dalcis																																	Artémidore de Daldis(it)	Artemidoro de Daldis(es)	Artemidorus Daldianus(en)	Artemidorus Daldianus(nl)	Artemidor von Daldis(de)	أرتيميدوروس من دالديس(ar)	Onirocriticus, du 2e s. ap.J.C.	
102	716			Chion d'Héraclée																																						Chion de Heraclea(es)	Chion d'Héraclée(it)	Chion of Heraclea(en)	Chion van Herakleia(nl)	Chion von Herakleia(de)	خيون من هيراقليا(ar)	4e s. av.J.C., épistolier	
103	720			Christodoros de Coptos																																						Christodoros de Coptos(it)	Christodoros von Koptos(de)	Christodorus of Coptus(en)	Christodorus van Koptos(nl)	Cristodoro de Copto(es)	كريستودوروس القفطي(ar)	5e -6e s. ap.J.C., poète et historien	
104	18348			Héliodore d'Emèse																																						Héliodore d'Emèse(it)	Heliodoro de Emesa(es)	Heliodoros aus Emesa(de)	Heliodorus of Emesa(en)	Heliodorus van Emesa(nl)	هيليودور الحمصي(ar)	Romancier grec, né à Emèse au IIIe siècle après J-C	
105	1477			Jamblique de Syrie																																						Iamblichus(en)	Iamblichus van Syrië(nl)	Jamblichos aus Syrien(de)	Jámblico de Siria(es)	Jamblique de Syrie(it)	جامبليق السوري(ar)	IIe s. ap.J.C. d'origine syrienne	
