Id	idConcept	N1	N2	N3	N4	N5	N6	UF1	UF2	UF3	UF4	UF5	RT1	RT2	RT3	RT4	RT5	LANG1	LANG2	LANG3	LANG4	LANG5	LANG6	NOTE1	NOTE2	
68	12352						Première épître de Jean											1. Johannesbrief(de)	Eerste Brief van Johannes(nl)	First epistle of John(en)	Première épître de Jean(es)	Première épître de Jean(it)	رسالة يوحنا الاولى(ar)		
69	18550					Epîtres de Paul												Epístolas de Pablo(es)	Epîtres de Paul(it)	Pauline Epistles(en)	Paulinische Brieven(nl)	Paulusbriefe(de)	رسائل بولس(ar)		
70	12051						Epître à Philémon	épître à Philémon	Épître à Philémon				Paul					Brief aan Filemon(nl)	Briefe an Philemon(de)	Epistle to Philemon(en)	Epître à Philémon(es)	Epître à Philémon(it)	الرسالة إلى فليمون(ar)		
71	12052						Epître à Timothée	Épître à Timothée					Paul					Brief aan Timotheus(nl)	Briefe an Timotheus(de)	Epistle to Timothy(en)	Epître à Timothée(es)	Epître à Timothée(it)	الرسالة إلى تيموثاوس(ar)		
72	12047						Epître aux Corinthiens	Epitre aux Corinthiens	Épître aux Corinthiens				Paul					Brief aan de Korinthiërs(nl)	Briefe an die Korinther(de)	Epistle to the Corinthians(en)	Epître aux Corinthiens(es)	Epître aux Corinthiens(it)	الرسالة إلى أهل كورينثوس(ar)		
73	12049						Epître aux Hébreux	Épître aux Hébreux					Paul					Brief aan de Hebreeën(nl)	Briefe an die Hebräer(de)	Epistle to the Hebrews(en)	Epître aux Hébreux(es)	Epître aux Hébreux(it)	الرسالة إلى العبرانيين(ar)		
74	12050						Epître aux Romains	Épître aux Romains	Lettre aux Romains				Paul					Brief aan de Romeinen(nl)	Briefe an die Römer(de)	Epistle to the Romans(en)	Epître aux Romains(es)	Epître aux Romains(it)	الرسالة إلى أهل روما(ar)		
75	12094				Evangiles			Évangiles					Evangiles apocryphes					Evangelien(de)	Evangelies(nl)	Evangelios(es)	Evangiles(it)	Gospels(en)	الأناجيل(ar)		
76	12089					Evangile selon saint Jean		Bible     Evangile selon saint Jean	Évangile selon Saint Jean									Evangelie volgens Johannes(nl)	Evangelio según san Juan(es)	Evangile selon saint Jean(it)	Johannesevangelium(de)	The Gospel of John(en)	إنجيل يوحنا(ar)		
77	12090					Evangile selon saint Luc		Évangile selon Saint Luc										Evangelie volgens Lucas(nl)	Evangelio según san Lucas(es)	Evangile selon saint Luc(it)	Lukasevangelium(de)	The Gospel of Luke(en)	إنجيل لوقا(ar)		
78	12091					Evangile selon saint Marc		Évangile selon Saint Marc										Evangelie volgens Marcus(nl)	Evangelio según san Marco(es)	Evangile selon saint Marc(it)	Markusevangelium(de)	The Gospel of Mark(en)	إنجيل مرقس(ar)		
79	12092					Evangile selon saint Matthieu		Évangile selon Saint Matthieu										Evangelie volgens Mattheüs(nl)	Evangelio según san Mateo(es)	Evangile selon saint Matthieu(it)	Matthäusevangelium(de)	The Gospel of Matthew(en)	إنجيل متّى(ar)		
80	12439			traductions de la Bible														Bibelübersetzungen(de)	Bible translations(en)	Bijbelvertaling(nl)	traducciones de la Biblia(es)	traduzioni della Bibbia(it)	ترجمات(ar)		
81	12226				Livre des Septantes			Bible     Septante	Septante									Libro de los Septantes(es)	Livre des Septantes(it)	Septuagint(en)	Septuagint(nl)	Septuaginta(de)	كتاب السبعينية(ar)	Version de la Bible hébraïque en langue grecque. Selon la tradition la traduction de la Torah aurait été réalisée par 72 traducteurs à Alexandrie, vers 270 av. J.-C., à la demande de Ptolémée II. 	
82	12240					Macchabées (livre)		Livre des Macchabées										Books of the Maccabees(en)	Bücher der Makkabäer(de)	Macabeos (livre)(es)	Macchabées (livre)(it)	Makkabeeën (boek)(nl)	مكابيون (كتاب)(ar)		
83	12241						Macchabées 3											3 Maccabees(en)	derde boek van de Makkabeeën(nl)	Dritte Buch der Makkabäer(de)	Macabeos III(es)	Macchabées 3(it)	مكابيون 3(ar)		
84	36388				Vetus latina			Vieilles latines										Vetus Latina(de)	Vetus Latina(en)	Vetus Latina(es)	Vetus Latina(it)	Vetus Latina(nl)	الترجمة الاتينية القديمة(ar)	Nom collectif des anciennes versions latines des textes bibliques effectuées à partir des textes grecs. Les plus anciennes d'entre elles remontent au deuxième siècle. Ces traductions, faites à différents endroits par des traducteurs différents, sont fort diverses, pas toujours très précises, sans contrôle de la hiérarchie ecclésiastique (Wikipédia)	
85	12458				Vulgate													Vulgata(de)	Vulgata(nl)	Vulgate(en)	Vulgate(es)	Vulgate(it)	الترجمة اللاتينية الثانية(ar)	Version latine de la Bible, traduite par saint Jérôme, entre la fin du IVe et le début du Ve siècle, directement depuis le texte hébreu pour l'Ancien Testament.	
86	11968		Coran					Koran					sources arabes					Coran(it)	Corán(es)	Koran(de)	Koran(nl)	Quran(en)	القرآن(ar)		
87	35932		Manuscrits de la Mer Morte					Manuscrit de la Mer morte	Manuscrits de Qumrân				manuscrit grec	manuscrit hébreu	manuscrit araméen			Dead Sea scrolls(en)	Dode Zee-rollen(nl)	Manoscritti del Mar Morto(it)	Manuscritos del Mar Muerto(es)	Schriftrollen vom Toten Meer(de)	مخطوطات البحر الميت(ar)		
88	17787		Textes chrétiens										littérature chrétienne					christelijke teksten(nl)	Christian texts(en)	Christliche Texte(de)	Testi christiani(it)	Textos cristianos(es)	نصوص مسيحية(ar)		
89	35923			Actes des martyrs														أعمال الشهداء(ar)							
90	11879			Apologétique Tert									Tertullien					Apologeticum Tert(de)	Apologeticum Tert(en)	Apologeticum Tert(nl)	Apologétique Tert(es)	Apologétique Tert(it)	الدفاع عن الدين ترتليانوس(ar)		
91	18331			Cité de Dieu Aug									Augustin					Cité de Dieu Aug(it)	Ciudad de Dios Aug(es)	Of the City of God Aug(en)	Over de Stad Gods Aug(nl)	Vom Gottesstaat Aug(de)	مدينة الله أوغسطينوس(ar)		
92	11963			Confessions Aug									Augustin					Bekenntnisse Aug(de)	Confesiones Aug(es)	Confessiones Aug(nl)	Confessions Aug(en)	Confessions Aug(it)	اعترافات أوغسطينوس(ar)		
93	11965			Contre Celse Orig									Origène					Acht Bücher gegen Celsus Orig(de)	Against Celsus Orig(en)	Contra Celso Orig(es)	Contre Celse Orig(it)	Tegen Celsus Orig(nl)	ضد سيلسوس أوريجانوس(ar)		
94	11966			Contre Marcion Tert									Tertullien					Against Marcion Tert(en)	Contra Marcion Tert(es)	Contre Marcion Tert(it)	Streitschrift gegen Marcion Tert(de)	Tegen Marcion Tert(nl)	ضد مارسيون ترتليانوس(ar)		
95	11996			De la mort des persécuteurs Lact									Lactance					De Dood van de Vervolgers Lact(nl)	De la mort des persécuteurs Lact(it)	De la muerte de los perseguidores Lact(es)	Die Todesarten der Verfolger Lact(de)	The Deaths of the Persecutors Lact(en)	موت المضطهدين لاكتانتيوس(ar)		
96	12009			Dialogues de Cassiacum Aug									Augustin					Cassiacum Dialogen Aug(nl)	Cassiacum-Dialogues Aug(en)	Dialoge aus Cassiacum Aug(de)	Diálogos de Cassiacum Aug(es)	Dialogues de Cassiacum Aug(it)	حوارات كاسياكوم أوغسطينوس(ar)		
97	12016			Discours vrai Cels				Discours véritable Cels					Celse phil					Die wahre Lehre Cels(de)	Discours vrai Cels(it)	Discurso verdadero Cels(es)	Het Ware Woord Cels(nl)	The True Word Cels(en)	الكلمة الحقة سيلسوس(ar)		
98	12018			Du culte des femmes Tert									Tertullien					De cultu feminarum Tert(en)	Del culto de las mujeres Tert(es)	Du culte des femmes Tert(it)	Over de cultus van vrouwen Tert(nl)	Vom Putz der Frauen Tert(de)	من تعبُّد النساء تيرتليانوس(ar)		
99	12117			Hexameron Ambr									Ambroise					Hexameron Ambr(de)	Hexameron Ambr(en)	Hexameron Ambr(es)	Hexameron Ambr(it)	Hexameron Ambr(nl)	قصة الخلق أمبروسيوس(ar)		
100	18347			Histoire ecclésiastique Eus									Eusèbe de Césarée					Church History Eus(en)	Histoire ecclésiastique Eus(it)	Historia eclesiástica Eus(es)	Kerkgeschiedenis Eus(nl)	Kirchengeschichte Eus(de)	تاريخ الكنيسة يوسابيوس(ar)		
